fahrenheit,celsius,fat1,fat2,fat3,fat4,fat5,fat6,fat7,fat8,fat9,fat10,fat11,fat12,rh_options_1_2_eligible,confidence
146,63.3,8.7 min,8.7 min,8.7 min,8.8 min,8.9 min,9 min,9.2 min,9.5 min,9.8 min,10.2 min,10.8 min,11.5 min,yes,OCR-2PASS-AGREE
147,63.9,7.1 min,7.1 min,7.1 min,7.2 min,7.3 min,7.4 min,7.5 min,7.7 min,8 min,8.4 min,8.8 min,9.4 min,yes,OCR-2PASS-AGREE
148,64.4,5.8 min,5.8 min,5.8 min,5.8 min,5.9 min,6 min,6.1 min,6.3 min,6.5 min,6.8 min,7.2 min,7.7 min,yes,OCR-2PASS-AGREE
149,65.0,4.7 min,4.7 min,4.7 min,4.7 min,4.7 min,4.8 min,4.9 min,5 min,5.2 min,5.4 min,5.8 min,6.2 min,yes,OCR-2PASS-AGREE
150,65.6,3.8 min,3.7 min,3.7 min,3.7 min,3.7 min,3.8 min,3.9 min,4 min,4.1 min,4.3 min,4.5 min,4.9 min,yes,OCR-2PASS-AGREE
151,66.1,3 min,2.9 min,2.9 min,2.9 min,2.9 min,2.9 min,3 min,3.1 min,3.2 min,3.3 min,3.5 min,3.8 min,yes,OCR-2PASS-AGREE
152,66.7,2.3 min,2.3 min,2.3 min,2.3 min,2.3 min,2.3 min,2.3 min,2.3 min,2.4 min,2.5 min,2.7 min,2.8 min,yes,OCR-2PASS-AGREE
153,67.2,1.8 min,1.8 min,1.9 min,1.9 min,1.9 min,1.9 min,1.9 min,1.9 min,1.9 min,1.9 min,1.9 min,2.1 min,yes,OCR-2PASS-AGREE
154,67.8,1.5 min,1.5 min,1.5 min,1.5 min,1.5 min,1.5 min,1.5 min,1.5 min,1.5 min,1.6 min,1.6 min,1.6 min,yes,OCR-2PASS-AGREE
155,68.3,1.2 min,1.2 min,1.2 min,1.2 min,1.2 min,1.2 min,1.2 min,1.3 min,1.3 min,1.3 min,1.3 min,1.3 min,yes,OCR-2PASS-AGREE
156,68.9,59 sec,59.3 sec,59.5 sec,59.8 sec,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,yes,OCR-2PASS-AGREE
157,69.4,47.9 sec,48.1 sec,48.3 sec,48.5 sec,48.8 sec,49 sec,49.2 sec,49.5 sec,49.7 sec,49.9 sec,50.2 sec,50.4 sec,yes,OCR-2PASS-AGREE
158,70.0,38.8 sec,39 sec,39.2 sec,39.4 sec,39.6 sec,39.8 sec,40 sec,40.1 sec,40.3 sec,40.5 sec,40.7 sec,40.9 sec,yes,OCR-2PASS-AGREE
159,70.6,31.5 sec,31.7 sec,31.8 sec,32 sec,32.1 sec,32.3 sec,32.4 sec,32.6 sec,32.7 sec,32.9 sec,33 sec,33.2 sec,yes,OCR-2PASS-AGREE
160,71.1,25.6 sec,25.7 sec,25.8 sec,26 sec,26.1 sec,26.2 sec,26.3 sec,26.4 sec,26.6 sec,26.7 sec,26.8 sec,26.9 sec,yes,OCR-2PASS-AGREE
161,71.7,20.8 sec,20.9 sec,21 sec,21.1 sec,21.2 sec,21.3 sec,21.4 sec,21.5 sec,21.6 sec,21.7 sec,21.8 sec,21.9 sec,yes,OCR-2PASS-AGREE
162,72.2,16.9 sec,16.9 sec,17 sec,17.1 sec,17.2 sec,17.3 sec,17.3 sec,17.4 sec,17.5 sec,17.6 sec,17.7 sec,17.7 sec,yes,OCR-2PASS-AGREE
163,72.8,13.7 sec,13.7 sec,13.8 sec,13.9 sec,13.9 sec,14 sec,14.1 sec,14.1 sec,14.2 sec,14.3 sec,14.3 sec,14.4 sec,yes,OCR-2PASS-AGREE
164,73.3,11.1 sec,11.2 sec,11.2 sec,11.3 sec,11.3 sec,11.4 sec,11.4 sec,11.5 sec,11.5 sec,11.6 sec,11.6 sec,11.7 sec,yes,OCR-2PASS-AGREE
165,73.9,0 sec.**,0 sec.**,0 sec.**,0 sec.**,0 sec.**,0 sec.**,0 sec.**,0 sec.**,0 sec.**,0 sec.**,0 sec.**,0 sec.**,yes,OCR-2PASS-AGREE
