#,סוג בשר,נתח,English Name,משקל,שלב 1: סו-ויד,שלב 2: עישון,טמפ' יעד (מרקם),טמפ' בטיחות,צריבה?,טיפול באמצע,wrap,זמן מנוחה,מרינדה/ראב,צ'אנקים,תערובות,פחם מומלץ,רמת קושי,טמפ' סו-ויד,זמן סו-ויד (מקס),טמפ' עישון,זמן עישון,טמפ' יעד,זמן כולל
27,בקר,פילה בקר,Beef Tenderloin,1.5,54°C/2-4h,100°C/30m,54°C,63,כן,צינון,לא,15 דק',מלח+פלפל+חמאה,אלון/דובדבן,אלון+דובדבן,Kamado Joe,2,54,4,100,0.5,54,4.5
28,בקר,ואסיו,Vacío,1.2,56°C/8-12h,110°C/30m,56°C,63,כן,אין,לא,15 דק',מלח גס+צ'ימיצ'ורי,אלון/היקורי,אלון+היקורי,Weber Lump,3,56,12,110,0.5,56,12.5
29,חזיר,פילה חזיר,Pork Loin,1.8,60°C/3-4h,110°C/1h,63°C,63,כן,אין,לא,15 דק',ראב מתוק+פפריקה,תפוח/דובדבן,תפוח+דובדבן,Fogo Premium,2,60,4,110,1,63,5
30,חזיר,פילה חזיר מדומה,Pork Tenderloin,0.5,60°C/2h,110°C/30m,63°C,63,כן,אין,לא,10 דק',חרדל+ראב,תפוח,תפוח,Weber Lump,1,60,2,110,0.5,63,2.5
31,חזיר,צוואר חזיר,Pork Collar,1.8,68°C/18-24h,110°C/2h,88°C,63,לא,אין,לא,20 דק',ראב חזיר,תפוח/היקורי,תפוח+היקורי,Fogo Premium,3,68,24,110,2,88,26
32,חזיר,רגל חזיר,Fresh Ham,5,65°C/24h,110°C/3h,71°C,63,לא,גלייז,לא,30 דק',ראב מתוק+ציפורן,תפוח/דובדבן,תפוח+דובדבן,Fogo Super Premium,4,65,24,110,3,71,27
33,חזיר,קוטלט חזיר,Pork Chops,0.4,60°C/1-2h,110°C/20m,63°C,63,כן,אין,לא,8 דק',מלח+פלפל+מרווה,תפוח,תפוח,Weber Lump,2,60,2,110,0.33,63,2.33
34,טלה,צלעות טלה,Lamb Ribs,1,68°C/18h,105°C/2h,90°C,63,לא,גלייז,לא,15 דק',ראב טלה+זעתר,פקאן/דובדבן,פקאן+דובדבן,Fogo Premium,3,68,18,105,2,90,20
35,טלה,ירך טלה,Leg of Lamb,2.5,56°C/6-8h,110°C/1.5h,60°C,63,כן,צינון,לא,20 דק',שום+רוזמרין+מלח,פקאן/דובדבן,פקאן+דובדבן,Fogo Super Premium,3,56,8,110,1.5,60,9.5
36,טלה,צלעות כבש (קארה),Rack of Lamb,0.7,56°C/2-3h,100°C/30m,56°C,63,כן,אין,לא,10 דק',חרדל+עשבי תיבול,דובדבן/תפוח,דובדבן+תפוח,Kamado Joe,3,56,3,100,0.5,56,3.5
37,טלה,חזה טלה,Lamb Breast,1.2,70°C/20-24h,110°C/2h,92°C,63,לא,אין,לא,20 דק',ראב טלה,פקאן/אלון,פקאן+אלון,Fogo Premium,3,70,24,110,2,92,26
38,עוף,עוף שלם (ספאצ'קוק),Spatchcock Chicken,1.7,65°C/2-3h,130°C/45m,74°C,74,כן,ייבוש עור,לא,10 דק',ראב עוף+פפריקה,תפוח/אלון,תפוח+אלון,Weber Lump,2,65,3,130,0.75,74,3.75
39,עוף,כנפיים,Chicken Wings,1,65°C/1-2h,150°C/30m,74°C,74,כן,ייבוש עור,לא,5 דק',ראב עוף / באפלו,תפוח/דובדבן,תפוח+דובדבן,Weber Lump,1,65,2,150,0.5,74,2.5
40,עוף,שוקיים,Chicken Drumsticks,1,70°C/2h,130°C/40m,80°C,74,כן,ייבוש עור,לא,5 דק',ראב עוף,תפוח/אלון,תפוח+אלון,Weber Lump,1,70,2,130,0.67,80,2.67
41,עוף,חזה עוף,Chicken Breast,0.35,63°C/1-2h,120°C/20m,68°C,74,לא,אין,לא,8 דק',ראב עדין+לימון,תפוח/דובדבן,תפוח+דובדבן,Fogo Premium,2,63,2,120,0.33,68,2.33
42,הודו,שוק הודו,Turkey Legs,1,74°C/8-12h,110°C/1h,85°C,74,לא,ייבוש עור,לא,15 דק',ראב+מלח כבישה,דובדבן/תפוח,דובדבן+תפוח,Fogo Premium,2,74,12,110,1,85,13
43,הודו,הודו שלם,Whole Turkey,6,63°C/4-5h,130°C/2h,74°C,74,לא,ייבוש עור,לא,30 דק',חמאת עשבים+מלח כבישה,תפוח/דובדבן,תפוח+דובדבן,Fogo Super Premium,4,63,5,130,2,74,7
44,אווז,אווז שלם,Whole Goose,4.5,64°C/6h,120°C/2h,75°C,74,כן,ניקוז שומן,לא,25 דק',מלח+תפוז+עשבים,דובדבן/תפוח,דובדבן+תפוח,Fogo Super Premium,5,64,6,120,2,75,8
45,אווז,שוק אווז (קונפי),Goose Leg,0.5,80°C/8-10h,110°C/45m,85°C,74,כן,אין,לא,10 דק',מלח+תימין+שום,דובדבן,דובדבן,Fogo Premium,3,80,10,110,0.75,85,10.75
46,ברווז,ברווז שלם,Whole Duck,2.2,64°C/4-5h,130°C/1.5h,74°C,74,כן,דקירת עור+ניקוז,לא,15 דק',מלח+חמישה תבלינים,דובדבן/תפוח,דובדבן+תפוח,Fogo Premium,4,64,5,130,1.5,74,6.5
47,ברווז,שוק ברווז (קונפי),Duck Leg Confit,0.3,80°C/8h,110°C/30m,85°C,74,כן,אין,לא,8 דק',מלח+תימין+שום,דובדבן,דובדבן,Fogo Premium,3,80,8,110,0.5,85,8.5
48,ברווז,חזה ברווז,Duck Breast,0.35,57°C/2h,100°C/20m,57°C,74,כן,חריטת עור,לא,8 דק',מלח+פלפל+תפוז,דובדבן,דובדבן,Kamado Joe,2,57,2,100,0.33,57,2.33
49,דג,סלמון,Salmon Fillet,1,50°C/45m,80°C/30m,52°C,63,לא,אין,לא,5 דק',מלח+סוכר חום (גרבלקס),תפוח/דובדבן,תפוח+דובדבן,Weber Lump,2,50,0.75,80,0.5,52,1.25
50,דג,פורל,Trout,0.4,50°C/30m,80°C/20m,54°C,63,לא,אין,לא,5 דק',מלח+שמיר+לימון,תפוח/דובדבן,תפוח+דובדבן,Weber Lump,2,50,0.5,80,0.33,54,0.8300000000000001
51,בקר,שפונדרה,Short Plate,2.5,68°C/24h,110°C/3h,95°C,63,לא,אין,לא,30 דק',ראב בקר,אלון/היקורי,אלון+היקורי,Fogo Super Premium,4,68,24,110,3,95,27
52,בקר,כתף בקר,Chuck Roast,2.5,74°C/24h,110°C/2h,95°C,63,לא,אין,לא,30 דק',ראב בקר,אלון/פקאן,אלון+פקאן,Fogo Super Premium,4,74,24,110,2,95,26
53,בקר,מכסה אנטריקוט,Rib Cap (Spinalis),0.8,54°C/3-4h,110°C/30m,56°C,63,כן,צינון,לא,10 דק',מלח+פלפל,אלון/פקאן,אלון+פקאן,Kamado Joe,2,54,4,110,0.5,56,4.5
54,בקר,שייטל,Top Round,2,56°C/8-10h,110°C/45m,57°C,63,כן,צינון,לא,15 דק',מלח+פלפל+שום,דובדבן/פקאן,דובדבן+פקאן,Fogo Premium,2,56,10,110,0.75,57,10.75
55,בקר,שפיץ צ'אך,Rump Roast,2,56°C/8h,110°C/45m,57°C,63,כן,צינון,לא,15 דק',מלח גס+פלפל,דובדבן/אלון,דובדבן+אלון,Fogo Premium,2,56,8,110,0.75,57,8.75
56,בקר,זנב שור,Oxtail,1.5,75°C/24h,110°C/2h,95°C,63,לא,אין,לא,20 דק',ראב בקר,אלון/היקורי,אלון+היקורי,Fogo Super Premium,4,75,24,110,2,95,26
57,בקר,עצמות מח עצם,Beef Marrow Bones,1,64°C/1h,110°C/30m,65°C,63,לא,אין,לא,5 דק',מלח גס,אלון,אלון,Weber Lump,2,64,1,110,0.5,65,1.5
58,טלה,אסאדו טלה,Lamb Plate Ribs,1.2,68°C/18h,105°C/2h,92°C,63,לא,גלייז,לא,20 דק',ראב טלה+זעתר,אלון/דובדבן,אלון+דובדבן,Fogo Premium,4,68,18,105,2,92,20
59,טלה,צוואר טלה,Lamb Neck,1,72°C/20h,105°C/2h,92°C,63,לא,אין,לא,20 דק',ראב טלה,דובדבן/אלון,דובדבן+אלון,Fogo Premium,4,72,20,105,2,92,22
60,טלה,מותן טלה,Lamb Loin,1,56°C/2-3h,100°C/30m,58°C,63,כן,אין,לא,10 דק',שום+רוזמרין+מלח,דובדבן,דובדבן,Kamado Joe,2,56,3,100,0.5,58,3.5
61,חזיר,לחי חזיר,Pork Cheek (Jowl),0.5,74°C/18-24h,110°C/1.5h,90°C,63,לא,אין,לא,15 דק',ראב חזיר,תפוח/דובדבן,תפוח+דובדבן,Fogo Premium,4,74,24,110,1.5,90,25.5
62,חזיר,פרק חזיר,Pork Hock,0.8,75°C/24h,110°C/2h,94°C,63,לא,אין,לא,15 דק',ראב חזיר+מלח כבישה,תפוח/היקורי,תפוח+היקורי,Fogo Premium,4,75,24,110,2,94,26
63,חזיר,חזה חזיר עם עצם,Picnic Shoulder,3.5,74°C/24h,110°C/3h,95°C,63,לא,מריחה,לא,30 דק',ראב מתוק,תפוח/פקאן,תפוח+פקאן,Fogo Super Premium,4,74,24,110,3,95,27
64,חזיר,ריבס אמריקאי,Baby Back Ribs,0.8,72°C/12h,110°C/2h,92°C,63,לא,גלייז,לא,10 דק',ראב מתוק+פפריקה,תפוח/דובדבן,תפוח+דובדבן,Weber Lump,3,72,12,110,2,92,14
65,חזיר,אוזן חזיר,Pork Ear,0.2,75°C/8h,120°C/30m,78°C,63,כן,אין,לא,5 דק',מלח+פפריקה,תפוח/היקורי,תפוח+היקורי,Weber Lump,2,75,8,120,0.5,78,8.5
66,חזיר,זנב חזיר,Pork Tail,0.3,75°C/12h,120°C/45m,80°C,63,כן,אין,לא,5 דק',ראב חזיר,תפוח,תפוח,Weber Lump,2,75,12,120,0.75,80,12.75
67,עוף,כרעיים,Chicken Leg Quarters,1,70°C/2h,130°C/40m,80°C,74,כן,ייבוש עור,לא,5 דק',ראב עוף,תפוח/דובדבן,תפוח+דובדבן,Weber Lump,1,70,2,130,0.67,80,2.67
68,הודו,כנפי הודו,Turkey Wings,0.8,74°C/4h,120°C/1h,80°C,74,לא,ייבוש עור,לא,10 דק',ראב+מלח כבישה,תפוח/פקאן,תפוח+פקאן,Fogo Premium,2,74,4,120,1,80,5
